INDEX,ESPÉCIE/LINHAGEM,% DMSO,TREHALOSE,% SFB,VIABILIDADE
137,HepG2,5.0,30.0,65.0,64.24
138,HepG2,5.0,80.0,15.0,45.0
139,HepG2,5.0,80.0,15.0,38.9
140,HepG2,5.0,80.0,15.0,41.8
141,HepG2,5.0,80.0,15.0,40.0
142,HepG2,5.0,80.0,15.0,31.73
143,HepG2,0.0,100.0,0.0,0.0
144,HepG2,0.0,100.0,0.0,0.0
145,HepG2,0.0,100.0,0.0,0.0
146,HepG2,0.0,100.0,0.0,0.0
147,HepG2,0.0,100.0,0.0,0.0
148,HepG2,5.0,0.0,95.0,91.6
149,HepG2,5.0,0.0,95.0,64.5
150,HepG2,60.0,0.0,40.0,0.0
151,HepG2,60.0,0.0,40.0,0.0
152,HepG2,60.0,0.0,40.0,0.0
153,HepG2,60.0,0.0,40.0,0.0
154,HepG2,60.0,0.0,40.0,0.0
155,HepG2,60.0,0.0,40.0,0.0
156,HepG2,70.0,0.0,30.0,0.0
157,HepG2,70.0,0.0,30.0,0.0
158,HepG2,70.0,0.0,30.0,0.0
159,HepG2,70.0,0.0,30.0,0.0
160,HepG2,70.0,0.0,30.0,0.0
161,HepG2,70.0,0.0,30.0,0.0
162,HepG2,80.0,0.0,20.0,0.0
163,HepG2,80.0,0.0,20.0,0.0
164,HepG2,80.0,0.0,20.0,0.0
165,HepG2,80.0,0.0,20.0,0.0
166,HepG2,80.0,0.0,20.0,0.0
167,HepG2,80.0,0.0,20.0,0.0
168,HepG2,90.0,0.0,10.0,0.0
169,HepG2,90.0,0.0,10.0,0.0
170,HepG2,90.0,0.0,10.0,0.0
171,HepG2,90.0,0.0,10.0,0.0
172,HepG2,90.0,0.0,10.0,0.0
173,HepG2,90.0,0.0,10.0,0.0
174,HepG2,100.0,0.0,0.0,0.0
175,HepG2,100.0,0.0,0.0,0.0
176,HepG2,100.0,0.0,0.0,0.0
177,HepG2,100.0,0.0,0.0,0.0
178,HepG2,100.0,0.0,0.0,0.0
179,HepG2,100.0,0.0,0.0,0.0
180,HepG2,100.0,0.0,0.0,0.0
181,HepG2,5.0,20.0,75.0,72.0
182,HepG2,5.0,20.0,75.0,78.5
183,HepG2,5.0,20.0,75.0,76.7
184,HepG2,5.0,20.0,75.0,69.2
185,HepG2,5.0,20.0,75.0,65.0
186,HepG2,5.0,50.0,45.0,53.42
187,HepG2,5.0,50.0,45.0,54.44
188,HepG2,5.0,50.0,45.0,38.88
189,HepG2,5.0,50.0,45.0,60.0
190,HepG2,5.0,50.0,45.0,67.0
191,HepG2,5.0,30.0,65.0,70.4
192,HepG2,5.0,30.0,65.0,68.2
193,HepG2,5.0,30.0,65.0,71.8
194,HepG2,5.0,30.0,65.0,77.0
195,HepG2,5.0,30.0,65.0,64.24
196,HepG2,5.0,80.0,15.0,45.0
197,HepG2,5.0,80.0,15.0,38.9
198,HepG2,5.0,80.0,15.0,41.8
199,HepG2,5.0,80.0,15.0,40.0
200,HepG2,5.0,80.0,15.0,31.73
201,HepG2,5.0,5.0,90.0,56.57
202,HepG2,5.0,5.0,90.0,72.8
203,HepG2,5.0,10.0,85.0,63.27
204,HepG2,5.0,10.0,85.0,69.12
205,HepG2,5.0,20.0,75.0,57.55
206,HepG2,5.0,20.0,75.0,55.51
207,HepG2,5.0,30.0,65.0,73.75
208,HepG2,5.0,30.0,65.0,57.27
209,HepG2,10.0,5.0,85.0,76.3
210,HepG2,10.0,5.0,85.0,83.07
211,HepG2,10.0,10.0,80.0,64.28
212,HepG2,10.0,10.0,80.0,79.47
213,HepG2,10.0,20.0,70.0,79.2
214,HepG2,10.0,20.0,70.0,82.9
215,HepG2,10.0,30.0,60.0,59.42
216,HepG2,10.0,30.0,60.0,86.75
